,Column Labels,,,,,,,,,,,,,,,,,,,
,baseline_never_false,,,,correct200_always_false,,,,correct200_importance50_true,,,,correct200_uncertaintyThreshold30_true,,,,Total Sum of reward,Total Sum of teaching,Total Sum of attention,Total Sum of sumAttention
Row Labels,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,,,,
850,3735.45,0,0,0,3805.275,0,0,69846.8,3779.566667,0,0,53491.2,3835.122222,0,1917.766667,190895.0333,15155.41389,0,1917.766667,314233.0333
860,3707.55,0,0,0,3821.616667,0,0,69846.8,3686.3,0,0,53491.2,3764.061111,0,1963.566667,192858.6,14979.52778,0,1963.566667,316196.6
870,3664.966667,0,0,0,3769.883333,0,0,69846.8,3775.633333,0,0,53491.2,3758.233333,0,1988.133333,194846.7333,14968.71667,0,1988.133333,318184.7333
880,3735.866667,0,0,0,3785.291667,0,0,69846.8,3716.35,0,0,53491.2,3714.116667,0,2011.866667,196858.6,14951.625,0,2011.866667,320196.6
890,3748.3,0,0,0,3819.691667,0,0,69846.8,3708.483333,0,0,53491.2,3725.066667,0,2038,198896.6,15001.54167,0,2038,322234.6
900,3746.891667,0,0,0,3773.883333,0,0,69846.8,3794.45,0,0,53491.2,3760.738889,0,1844.8,200741.4,15075.96389,0,1844.8,324079.4
910,3790.758333,0,0,0,3749.041667,0,0,69846.8,3749.016667,0,0,53491.2,3751.488889,0,2032.833333,202774.2333,15040.30556,0,2032.833333,326112.2333
920,3778.1,0,0,0,3757.391667,0,0,69846.8,3766.158333,0,0,53491.2,3786.994444,0,1940.666667,204714.9,15088.64444,0,1940.666667,328052.9
930,3703.616667,0,0,0,3831.775,0,0,69846.8,3835.875,0,0,53491.2,3769.733333,0,1869.666667,206584.5667,15141,0,1869.666667,329922.5667
940,3815.916667,0,0,0,3771.575,0,0,69846.8,3705.425,0,0,53491.2,3781.688889,0,1882.633333,208467.2,15074.60556,0,1882.633333,331805.2
950,3690.958333,0,0,0,3784.241667,0,0,69846.8,3745.5,0,0,53491.2,3758.266667,0,1950.5,210417.7,14978.96667,0,1950.5,333755.7
960,3774.983333,0,0,0,3806.708333,0,0,69846.8,3771.016667,0,0,53491.2,3764.244444,0,1808.733333,212226.4333,15116.95278,0,1808.733333,335564.4333
970,3776.9,0,0,0,3767.916667,0,0,69846.8,3732.258333,0,0,53491.2,3780.588889,0,1746.7,213973.1333,15057.66389,0,1746.7,337311.1333
980,3642.591667,0,0,0,3735.683333,0,0,69846.8,3767.266667,0,0,53491.2,3785.483333,0,1907.433333,215880.5667,14931.025,0,1907.433333,339218.5667
990,3715.283333,0,0,0,3744.75,0,0,69846.8,3788.175,0,0,53491.2,3791.25,0,1904.333333,217784.9,15039.45833,0,1904.333333,341122.9
1000,3748.858333,0,0,0,3760.533333,0,0,69846.8,3787.483333,0,0,53491.2,3791.383333,0,1764.533333,219549.4333,15088.25833,0,1764.533333,342887.4333
Grand Total,311090.6417,0,0,0,340384.225,1000,69846.8,6789368.9,337694.0667,1000,53491.2,5112434.467,322815.4,402.8666667,219549.4333,11471038.23,1311984.333,2402.866667,342887.4333,23372841.6
